"","Hour_Delay","Security_o","Airport_Distance","Number_of_flights","Support_Crew_Available","Weather","Baggage_loading_time","Late_Arrival_o"
"694",1,35,449,46063,129,5,17,19
"695",1,47,419,42944,30,5,17,19
"696",1,27,476,45976,99,6,17,18
"697",0,47,445,42760,43,5,17,19
"698",1,44,445,39609,110,5,17,20
"699",1,49,467,46337,86,6,17,20
"700",1,38,462,46150,96,6,18,19
"701",0,41,454,42635,102,5,17,19
"702",0,45,444,39813,102,5,16,18
"703",0,24,423,40786,96,5,16,18
"704",0,39,474,41973,71,5,17,19
"705",1,38,447,49665,106,5,18,19
"706",1,35,444,43874,69,5,17,19
"707",1,40,432,42110,61,5,16,18
"708",1,47,466,46371,43,5,18,19
"709",1,33,432,44691,119,5,17,18
"710",0,27,464,40376,93,6,17,17
"711",0,31,443,37962,102,5,16,18
"712",0,42,435,32815,115,5,15,16
"713",0,22,460,43496,142,5,17,19
"714",1,51,445,42155,115,5,17,18
"715",0,59,437,39236,55,5,16,19
"716",1,40,445,42585,131,5,17,19
"717",0,36,415,40405,38,5,16,19
"718",0,33,438,35493,207,5,16,17
"719",0,36,434,42541,59,5,17,19
"720",1,42,466,45528,48,5,17,20
"721",1,35,469,45225,110,6,16,18
"722",0,45,427,39382,89,5,16,18
"723",0,32,426,37577,110,5,16,17
"724",0,34,457,36845,184,5,15,17
"725",1,42,436,44966,100,5,17,19
"726",0,37,420,43964,102,6,17,18
"727",1,34,468,46257,22,5,18,20
"728",0,40,435,44758,60,5,17,18
"729",0,42,416,39417,118,5,16,18
"730",0,51,453,35433,74,5,16,18
"731",0,41,429,42992,140,6,16,18
"732",1,45,475,48458,104,6,17,19
"733",1,32,460,43923,75,6,18,20
"734",1,51,445,45983,112,5,16,19
"735",0,41,398,42387,115,5,16,17
"736",1,27,420,43633,137,6,17,18
"737",0,37,418,40699,179,6,17,18
"738",1,43,448,43929,95,6,17,19
"739",0,37,438,40833,80,5,16,20
"740",1,34,449,43414,81,6,17,19
"741",0,31,447,40998,106,5,17,19
"742",0,25,459,43346,168,6,17,19
"743",1,34,445,42259,75,5,17,18
"744",0,27,470,39204,141,5,16,18
"745",1,37,437,43758,41,6,17,19
"746",1,38,469,48611,31,6,18,20
"747",1,42,446,41095,16,5,17,18
"748",1,41,459,43167,43,6,17,19
"749",1,40,453,46627,91,6,17,19
"750",1,36,457,46217,66,6,17,18
"751",1,33,439,41012,98,5,17,19
"752",1,45,449,41494,70,5,17,18
"753",0,34,441,43609,169,6,17,19
"754",0,36,440,41938,112,5,17,19
"755",1,36,444,43018,89,5,18,20
"756",1,41,473,43458,101,5,17,20
"757",1,43,427,46519,67,6,17,20
"758",0,31,437,42368,115,5,17,19
"759",0,35,426,41600,14,5,16,17
"760",1,40,455,44349,51,5,17,19
"761",1,43,457,42791,8,6,17,19
"762",1,37,461,43905,85,5,17,19
"763",1,40,448,42139,101,6,17,19
"764",0,41,427,39610,54,5,16,18
"765",0,50,443,39558,121,5,16,18
"766",1,36,461,47345,79,5,17,19
"767",0,35,457,41491,78,5,16,17
"768",1,38,436,44243,50,6,17,19
"769",0,38,431,43198,8,5,17,18
"770",1,38,455,41592,100,5,18,18
"771",1,30,439,42651,73,6,17,19
"772",1,53,450,43797,2,5,17,18
"773",1,34,439,45588,27,6,17,19
"774",0,39,404,42117,87,5,17,18
"775",0,37,442,45410,143,5,17,19
"776",0,34,443,42582,148,5,17,19
"777",1,32,456,41776,86,6,17,19
"778",0,37,452,43576,88,5,17,17
"779",1,40,438,45304,138,5,17,19
"780",1,36,445,43954,95,5,17,20
"781",1,41,449,47084,96,6,17,19
"782",0,58,426,42079,150,5,17,18
"783",1,38,428,45112,99,6,17,19
"784",1,30,444,42426,42,6,17,20
"785",1,44,426,46338,125,6,18,19
"786",0,28,431,39265,137,5,17,19
"787",0,38,405,40900,104,5,16,17
"788",0,29,417,41130,49,5,17,19
"789",0,31,424,38991,165,5,16,17
"790",1,40,451,45025,112,5,17,20
"791",1,33,468,47988,99,5,17,20
"792",1,40,440,44144,29,5,17,18
"793",1,39,450,44790,124,6,17,18
"794",1,38,448,43973,51,5,17,19
"795",1,29,440,44943,98,6,17,19
"796",1,37,444,44621,47,6,17,19
"797",0,28,419,43449,84,5,17,19
"798",0,43,434,41087,149,6,16,18
"799",0,38,423,40822,154,5,17,19
"800",0,33,427,40787,78,5,17,18
"801",0,45,461,41956,191,5,16,18
"802",1,32,447,49040,11,5,18,20
"803",1,43,410,41478,65,5,18,18
"804",0,40,428,41969,77,5,16,18
"805",1,40,451,45883,64,6,17,19
"806",1,47,445,44707,51,6,17,19
"807",1,37,458,44798,68,5,17,18
"808",0,41,438,42377,38,5,17,18
"809",1,33,448,44294,75,5,18,20
"810",1,44,423,48532,113,6,17,19
"811",0,36,419,41635,67,5,16,19
"812",1,38,459,44116,40,6,17,18
"813",1,40,460,44716,69,5,18,18
"814",1,27,445,44461,78,5,17,19
"815",1,42,454,42810,104,5,17,20
"816",1,34,436,45395,104,6,17,20
"817",1,48,469,44875,64,5,17,19
"818",1,19,412,44440,86,6,17,19
"819",0,54,408,40538,146,5,16,19
"820",0,27,429,40767,143,5,16,18
"821",0,35,447,37315,151,5,16,17
"822",0,25,413,43186,120,5,16,19
"823",0,47,444,42676,72,5,16,19
"824",0,36,425,39903,98,5,16,17
"825",0,26,431,42710,120,5,16,18
"826",0,35,433,39369,100,5,16,17
"827",1,33,466,45874,38,5,17,20
"828",1,44,457,42836,13,6,17,19
"829",1,34,451,44234,41,5,17,19
"830",1,37,478,47427,20,6,18,20
"831",0,37,414,35324,107,5,15,18
"832",0,47,410,41351,179,5,17,19
"833",0,37,436,37297,88,5,16,18
"834",0,37,435,40311,124,5,17,18
"835",0,46,444,39521,119,5,17,18
"836",1,37,417,45143,122,6,17,18
"837",0,30,464,43940,149,5,17,18
"838",0,40,385,42211,107,5,17,17
"839",1,37,471,42979,26,6,17,19
"840",1,26,455,46030,54,5,17,19
"841",1,51,460,41451,83,5,17,19
"842",1,34,458,43947,60,6,17,19
"843",1,31,425,42439,77,5,17,20
"844",1,47,465,47930,79,6,18,20
"845",1,33,440,46364,115,6,18,19
"846",1,35,455,44625,53,5,18,19
"847",1,45,465,44089,88,5,17,19
"848",1,42,474,48177,58,6,18,19
"849",1,52,470,48907,103,5,18,20
"850",0,31,437,40336,113,5,16,19
"851",1,23,430,45852,37,5,17,19
"852",0,23,433,39875,160,5,16,19
"853",0,32,433,40544,95,5,16,20
"854",1,45,450,39579,57,5,17,18
"855",0,39,431,38419,123,6,17,18
"856",1,41,449,44867,41,5,18,20
"857",0,50,410,40241,57,5,17,18
"858",1,40,428,43135,59,6,18,19
"859",1,41,453,45188,35,5,18,19
"860",1,35,466,46796,52,6,18,19
"861",1,48,448,45957,27,5,18,18
"862",1,35,456,44054,53,6,17,19
"863",1,45,433,45139,35,5,18,19
"864",1,38,452,45144,113,6,18,19
"865",1,34,458,42546,126,5,17,19
"866",0,29,425,36953,165,5,16,17
"867",1,40,460,39797,46,5,17,19
"868",0,43,418,42542,89,5,17,18
"869",0,35,448,42721,138,5,17,18
"870",1,31,470,46280,14,6,18,19
"871",0,45,427,39975,66,5,17,20
"872",1,36,423,44189,145,6,17,19
"873",1,35,428,45458,51,6,17,20
"874",0,36,434,42929,104,5,17,18
"875",0,30,439,44526,158,6,17,19
"876",0,36,445,40146,110,5,16,19
"877",0,30,455,38377,131,5,17,19
"878",1,35,459,44213,57,5,17,20
"879",1,40,441,43026,16,5,17,19
"880",1,47,443,42772,126,5,17,18
"881",0,40,412,38880,201,5,16,17
"882",1,33,467,45681,35,5,17,20
"883",1,36,435,43082,92,5,17,19
"884",0,28,435,41705,68,5,16,18
"885",0,31,438,41721,1,5,16,19
"886",1,45,453,42611,38,5,17,20
"887",1,33,439,41162,106,6,17,19
"888",1,33,430,45766,105,5,17,18
"889",0,33,436,41032,150,5,16,18
"890",0,43,424,39237,156,5,16,18
"891",1,40,424,43127,45,6,17,20
"892",0,37,438,41998,91,5,16,18
"893",0,36,445,44605,1,5,17,20
"894",0,41,429,39073,60,5,16,18
"895",1,49,446,43498,11,5,17,19
"896",1,44,446,43839,123,5,17,19
"897",0,40,433,40466,120,5,16,18
"898",1,39,456,49036,130,5,18,20
"899",1,43,458,43139,72,6,17,20
"900",0,31,450,44374,151,5,17,19
"901",1,42,440,44004,57,5,18,19
"902",1,39,460,45574,32,6,18,19
"903",1,33,443,47475,72,6,18,19
"904",1,47,454,45929,41,6,17,19
"905",1,27,442,47342,2,6,18,20
"906",0,33,430,41467,68,5,17,19
"907",1,39,454,41579,67,5,17,19
"908",0,27,434,41988,186,5,17,19
"909",1,38,450,48446,74,6,18,20
"910",0,41,413,40567,125,5,16,18
"911",1,44,448,46152,43,5,17,18
"912",1,40,453,42065,21,5,17,19
"913",0,30,420,36418,113,5,15,18
"914",1,51,457,43421,50,6,17,19
"915",1,42,443,44593,71,5,18,19
"916",1,28,433,44246,73,6,17,19
"917",1,47,426,42063,103,5,18,19
"918",1,28,441,46571,59,5,18,19
"919",0,34,454,43237,37,6,16,18
"920",1,31,431,44810,108,5,17,20
"921",0,31,429,39822,111,5,16,18
"922",0,32,475,42049,133,5,16,17
"923",1,19,455,48236,94,6,18,19
"924",0,46,403,42266,90,6,17,19
"925",1,42,457,44450,109,5,17,20
"926",1,40,445,42781,133,6,17,19
"927",1,38,438,48280,24,5,18,19
"928",0,44,447,44587,86,5,17,18
"929",1,39,452,45667,115,5,18,19
"930",0,31,428,41735,144,5,17,18
"931",1,35,435,47716,104,5,18,19
"932",0,33,429,40333,116,5,17,18
"933",0,26,421,40785,86,6,16,19
"934",1,38,449,49650,32,6,18,20
"935",0,35,432,42172,43,5,17,18
"936",1,35,438,43912,60,5,17,18
"937",1,45,442,44199,84,5,17,19
"938",1,43,428,45084,22,6,17,19
"939",0,36,430,42120,107,5,16,18
"940",0,36,426,42101,140,5,17,20
"941",0,35,436,36513,155,5,16,18
"942",1,41,405,41280,163,5,17,19
"943",0,34,437,42659,176,5,16,20
"944",1,30,462,43331,79,5,17,18
"945",0,24,427,39389,86,5,16,18
"946",0,52,404,42527,109,5,16,18
"947",0,36,439,37952,107,5,15,18
"948",0,27,449,43176,54,5,17,18
"949",0,31,449,39618,104,5,16,18
"950",0,44,457,40107,163,5,16,18
"951",1,39,439,42527,22,5,17,20
"952",1,32,443,42898,151,5,18,19
"953",0,32,427,42001,119,5,17,18
"954",0,41,450,40474,107,5,16,18
"955",1,45,444,45851,93,5,17,20
"956",1,29,461,48089,21,6,17,19
"957",1,37,447,45716,35,5,18,18
"958",0,30,428,40626,52,5,16,17
"959",1,35,475,42800,31,5,17,19
"960",1,37,458,46213,82,6,18,20
"961",1,34,435,41569,148,6,17,19
"962",1,45,450,45469,81,6,17,19
"963",1,37,457,45437,21,6,18,20
"964",1,32,482,45879,74,6,18,20
"965",0,26,436,42525,48,6,17,19
"966",1,42,421,45027,75,5,17,18
"967",0,36,437,39273,40,5,16,18
"968",1,39,464,44674,35,5,17,19
"969",1,45,450,43972,34,5,17,20
"970",0,43,442,39959,181,5,17,17
"971",0,35,436,41436,42,5,17,18
"972",0,37,452,41871,120,5,17,19
"973",0,35,436,39116,66,5,16,17
"974",0,50,433,40723,102,5,16,19
"975",1,51,449,44250,26,6,17,19
"976",1,33,464,47074,42,5,17,18
"977",1,27,469,46830,177,5,17,19
"978",1,41,450,42323,88,6,16,18
"979",1,37,451,44527,16,5,18,19
"980",1,37,441,43434,76,5,17,19
"981",0,30,455,41455,138,5,17,18
"982",1,47,424,44686,106,6,18,18
"983",1,43,443,42796,186,5,17,19
"984",0,29,401,41110,24,5,17,19
"985",0,29,444,42970,88,5,17,18
"986",1,40,457,47021,66,5,17,20
"987",0,36,452,41395,102,5,16,18
"988",0,43,426,39150,121,5,16,18
"989",1,40,468,44248,85,6,18,19
"990",1,45,447,41151,101,5,17,19
"991",0,40,423,43766,58,6,17,18
"992",1,30,426,45598,94,6,18,18
"993",1,40,433,47449,65,5,17,19
"994",1,38,453,43018,80,5,18,19
"995",1,33,442,46245,76,5,18,20
"996",1,19,424,44985,126,5,17,18
"997",1,34,470,44594,52,5,17,19
"998",0,35,430,43215,97,5,17,20
"999",1,43,450,41916,70,5,17,20
"1000",1,40,464,44984,16,5,17,20
"1001",0,42,405,41703,99,5,17,18
"1002",1,34,446,45406,45,5,17,19
"1003",1,33,445,46690,46,6,17,19
"1004",1,31,495,43675,117,6,18,19
"1005",0,37,447,41313,55,5,17,18
"1006",1,37,446,45231,59,5,17,19
"1007",1,31,459,43319,79,5,17,20
"1008",1,32,455,46457,120,6,18,19
"1009",1,38,430,45576,168,6,17,19
"1010",1,33,456,43519,72,6,17,20
"1011",1,23,437,45305,96,5,17,18
"1012",0,37,442,41642,83,5,17,18
"1013",0,43,420,41236,110,5,17,18
"1014",1,36,446,45538,57,6,18,20
"1015",0,35,453,40525,41,5,17,18
"1016",0,33,448,40897,97,6,17,18
"1017",1,32,449,44964,60,6,17,19
"1018",1,32,431,46493,44,6,17,19
"1019",0,27,432,41191,160,5,16,17
"1020",0,34,438,43929,55,6,17,19
"1021",1,40,465,44409,71,6,17,18
"1022",0,31,435,38991,60,5,16,18
"1023",1,42,457,44341,72,5,17,18
"1024",0,36,415,42770,40,5,17,19
"1025",1,36,448,43305,104,6,17,19
"1026",1,27,459,42939,70,5,17,19
"1027",1,26,464,45335,43,5,17,20
"1028",1,47,441,44095,78,6,17,19
"1029",1,46,433,43700,108,6,17,19
"1030",0,38,424,42497,165,5,17,18
"1031",1,48,477,47941,75,6,18,19
"1032",1,32,461,45426,64,5,17,20
"1033",1,41,461,46219,13,6,18,19
"1034",0,44,427,40257,113,5,17,19
"1035",0,41,442,39853,129,5,16,18
"1036",1,53,435,45183,58,5,17,19
"1037",1,36,435,45779,96,5,17,19
"1038",1,47,446,45655,79,6,17,20
"1039",1,44,441,43838,85,6,18,19
"1040",1,29,435,42759,1,6,17,19
"1041",1,36,430,42014,52,5,18,18
"1042",0,36,422,42261,89,5,16,18
"1043",1,28,446,43839,40,5,17,19
"1044",1,40,443,46708,79,6,18,19
"1045",1,48,446,47598,60,6,18,18
"1046",0,45,422,42756,87,5,17,19
"1047",1,34,475,51436,81,6,19,22
"1048",1,40,432,42733,142,5,17,18
"1049",1,38,451,45320,57,6,18,20
"1050",1,39,451,46310,71,5,18,19
"1051",1,49,458,44950,110,5,18,20
"1052",0,43,437,37199,143,5,16,18
"1053",0,32,452,41997,99,6,16,18
"1054",1,28,445,45939,76,6,17,19
"1055",0,33,422,38348,142,5,16,18
"1056",1,26,463,41522,67,5,17,19
"1057",1,38,455,45062,124,6,17,19
"1058",0,46,440,41170,118,5,16,18
"1059",0,44,432,40965,101,5,17,18
"1060",1,40,432,41984,125,5,17,18
"1061",1,42,467,44701,53,6,18,20
"1062",1,30,454,42812,71,5,17,19
"1063",1,23,448,45859,42,5,17,19
"1064",0,42,440,47178,64,5,17,18
"1065",1,37,432,43417,76,5,17,17
"1066",1,44,486,43247,64,5,18,21
"1067",0,32,427,40331,51,5,17,18
"1068",1,45,468,44887,46,6,17,20
"1069",1,42,407,42546,10,5,17,19
"1070",0,14,429,37961,107,5,17,18
"1071",1,30,442,42081,142,5,16,19
"1072",0,45,426,36772,124,5,16,18
"1073",1,40,459,44518,123,5,18,19
"1074",1,35,439,44221,73,5,17,19
"1075",0,15,457,43649,174,5,16,18
"1076",1,49,447,41388,77,5,17,18
"1077",1,32,471,47546,59,5,17,19
"1078",0,44,470,40539,115,5,16,18
"1079",0,44,442,40158,219,5,17,19
"1080",1,38,459,44425,79,6,18,19
"1081",1,26,411,43649,87,5,18,19
"1082",0,31,450,42826,58,5,17,19
"1083",0,41,419,38672,137,5,16,18
"1084",1,50,441,45250,82,6,18,20
"1085",0,38,451,39996,125,5,17,18
"1086",1,49,453,43751,121,5,18,20
"1087",1,34,428,45059,115,6,18,19
"1088",1,29,439,44197,150,6,17,19
"1089",0,34,409,40945,111,6,16,18
"1090",1,43,438,45581,30,5,17,19
"1091",0,45,431,41865,58,6,16,18
"1092",0,32,439,41007,17,6,17,19
"1093",1,36,444,45946,16,6,18,20
"1094",1,36,455,44548,157,5,17,19
"1095",0,54,442,42389,82,6,17,19
"1096",0,41,451,39310,127,5,16,19
"1097",1,35,449,43963,49,5,17,19
"1098",0,35,459,43253,107,5,17,20
"1099",1,36,457,41594,98,6,17,19
"1100",0,52,377,43243,125,6,16,19
"1101",1,34,458,47530,37,5,17,19
"1102",0,51,441,41752,146,5,17,18
"1103",0,41,460,40177,92,6,16,18
"1104",0,33,444,40764,1,5,17,18
"1105",0,43,444,41645,12,5,17,18
"1106",0,45,459,41746,76,5,17,19
"1107",1,45,435,42918,130,6,17,18
"1108",0,43,439,41681,97,5,16,18
"1109",1,32,409,44663,96,5,17,19
"1110",1,38,413,42325,31,6,17,19
"1111",0,32,444,38333,119,5,16,18
"1112",1,40,453,42995,99,5,17,19
"1113",1,40,454,45925,15,6,18,20
"1114",1,22,431,44523,65,5,17,19
"1115",1,39,453,43550,117,5,17,19
"1116",1,32,446,43485,108,6,18,19
"1117",0,36,449,41768,110,5,16,19
"1118",0,37,422,38908,172,5,16,17
"1119",1,50,459,46062,110,5,18,19
"1120",0,40,417,43705,49,5,16,19
"1121",0,37,447,42195,140,5,17,18
"1122",1,40,446,44775,79,5,17,19
"1123",1,41,441,44081,55,6,17,19
"1124",1,38,444,44679,102,5,17,19
"1125",1,40,455,48837,115,6,18,21
"1126",0,34,439,44077,33,6,17,18
"1127",1,32,430,44407,72,5,18,20
"1128",1,27,437,44697,26,5,17,19
"1129",1,29,480,47520,71,6,18,21
"1130",0,34,440,37753,73,5,16,19
"1131",1,47,436,46269,41,5,18,19
"1132",1,43,458,44630,52,5,18,19
"1133",1,38,429,43582,58,5,17,18
"1134",0,40,426,39462,38,6,16,18
"1135",1,37,438,45184,139,5,17,18
"1136",1,36,455,45057,108,5,16,19
"1137",1,36,439,46291,88,6,18,20
"1138",1,23,445,45279,52,6,18,20
"1139",1,26,430,47187,120,5,18,20
"1140",0,43,450,38503,55,6,16,17
"1141",0,41,442,39335,132,5,17,18
"1142",0,42,420,36294,84,5,15,18
"1143",0,34,424,33122,209,5,15,17
"1144",0,33,423,41530,68,5,17,18
"1145",0,33,432,41047,82,6,17,19
"1146",1,36,481,47378,72,5,18,20
"1147",1,52,450,46590,91,6,18,19
"1148",1,36,451,43189,55,6,18,19
"1149",1,29,424,43248,45,6,17,18
"1150",1,37,472,44891,97,5,17,19
"1151",1,22,446,47341,99,6,18,20
"1152",1,25,431,42771,5,6,17,19
"1153",1,30,455,44519,61,6,17,19
"1154",1,31,445,44079,86,5,18,19
"1155",1,25,451,44613,110,5,18,19
"1156",1,35,406,42768,5,5,17,18
"1157",0,55,453,41114,136,5,16,18
"1158",0,38,426,44795,77,5,17,19
"1159",0,40,423,39848,77,6,17,18
"1160",0,33,439,42881,75,5,17,19
"1161",1,34,462,42144,128,6,17,19
"1162",1,39,484,43675,88,6,17,18
"1163",1,37,476,44874,42,5,18,19
"1164",1,42,453,44950,78,6,17,19
"1165",1,44,432,45178,127,6,18,19
"1166",0,44,427,41062,148,5,16,18
"1167",0,43,435,42772,149,5,17,19
"1168",0,47,424,43782,130,5,16,18
"1169",1,17,434,43472,134,5,17,18
"1170",1,40,449,46387,48,5,17,19
"1171",1,32,478,47456,85,5,17,19
"1172",1,45,429,44785,81,5,17,18
"1173",0,40,422,41897,77,5,17,19
"1174",1,39,476,44164,170,6,18,20
"1175",1,28,438,44698,31,5,17,19
"1176",1,42,458,44680,172,5,17,19
"1177",1,31,441,47118,7,5,18,19
"1178",0,39,448,39221,106,5,17,18
"1179",0,28,429,40785,118,5,16,18
"1180",1,39,433,44722,65,6,18,19
"1181",1,38,445,42546,71,5,17,19
"1182",1,36,454,44468,34,6,17,20
"1183",1,35,460,42829,55,6,17,20
"1184",1,44,444,45955,34,6,18,20
"1185",1,36,400,44575,99,6,17,19
"1186",1,37,460,49721,24,5,18,20
"1187",1,38,449,46658,95,5,17,20
"1188",0,46,410,40556,142,5,16,19
"1189",1,25,462,43297,74,5,17,18
"1190",1,53,451,43614,62,5,17,19
"1191",0,43,412,37020,140,5,15,18
"1192",1,37,473,46890,139,6,17,19
"1193",1,23,422,46242,62,5,17,19
"1194",1,43,444,44085,39,5,17,19
"1195",1,39,433,43523,74,5,17,18
"1196",0,34,431,42312,86,5,17,18
"1197",0,33,419,37760,34,5,16,18
"1198",0,36,425,39562,23,6,17,19
"1199",1,41,469,47659,75,6,17,19
"1200",0,34,428,40191,88,5,16,18
"1201",1,41,448,47116,73,6,18,19
"1202",1,41,447,42451,104,5,17,18
"1203",1,39,435,43886,38,6,18,19
"1204",1,23,431,44876,25,5,17,19
"1205",1,28,453,45757,125,6,17,19
"1206",0,39,426,43496,108,5,17,19
"1207",0,41,445,39166,54,5,17,19
"1208",0,37,459,43549,62,5,17,18
"1209",1,54,437,47422,109,6,18,20
"1210",1,44,463,45172,91,5,18,18
"1211",1,46,429,43356,125,5,17,20
"1212",0,18,430,41326,83,6,17,19
"1213",1,37,450,42773,78,6,18,20
"1214",0,32,441,40002,181,5,16,18
"1215",1,33,460,43474,141,5,18,19
"1216",1,26,472,44226,66,5,17,19
"1217",0,34,441,42898,135,5,16,17
"1218",1,34,439,43410,83,6,17,18
"1219",0,37,448,35697,88,5,16,17
"1220",1,25,446,41371,164,5,17,19
"1221",0,44,428,43026,3,5,17,19
"1222",0,34,406,42176,150,6,16,19
"1223",1,29,475,46702,57,5,18,20
"1224",0,51,421,39660,52,5,17,19
"1225",0,40,463,43232,83,6,17,19
"1226",1,35,451,43946,11,5,17,19
"1227",0,35,462,42173,112,5,16,19
"1228",1,38,434,44512,65,6,17,18
"1229",1,46,445,46524,62,5,18,20
"1230",1,32,437,43811,97,6,17,19
"1231",1,37,435,43497,79,6,17,19
"1232",1,39,431,42719,51,6,17,18
"1233",1,36,459,44282,28,5,18,18
"1234",0,40,403,37901,68,5,16,18
"1235",1,40,458,42945,165,5,17,18
"1236",0,38,436,41502,52,5,17,19
"1237",0,39,414,44147,54,5,17,18
"1238",1,24,429,44738,58,5,17,18
"1239",1,33,461,43161,125,6,17,18
"1240",0,28,407,39454,128,5,16,18
"1241",1,37,446,47516,57,6,17,19
"1242",1,38,442,43166,29,5,17,19
"1243",1,40,428,44218,136,6,17,19
"1244",1,31,424,46370,90,5,17,19
"1245",1,39,432,48231,11,5,17,19
"1246",0,26,453,37881,84,5,16,18
"1247",1,41,463,45544,147,6,17,19
"1248",1,35,451,43984,142,6,18,18
"1249",1,31,464,46350,75,5,18,19
"1250",1,37,450,43333,65,6,17,19
"1251",0,37,423,38760,64,5,17,18
"1252",1,31,438,46976,73,6,17,20
"1253",0,28,434,40391,98,5,17,18
"1254",1,36,451,46621,82,5,17,20
"1255",1,40,443,44691,96,5,17,19
"1256",1,41,442,46064,120,6,18,19
"1257",1,38,464,46540,108,5,17,19
"1258",1,28,440,43020,135,5,17,19
"1259",1,32,424,42016,87,6,17,19
"1260",1,35,457,41739,59,6,17,18
"1261",0,31,435,42818,114,5,17,19
"1262",0,50,437,40375,11,5,16,19
"1263",1,43,461,43796,66,5,17,20
"1264",1,30,444,43533,41,6,17,18
"1265",0,35,430,39954,157,5,17,18
"1266",1,46,444,48023,13,5,18,19
"1267",1,25,449,45798,52,5,17,19
"1268",0,20,449,40768,89,5,16,18
"1269",1,40,443,47561,78,5,18,19
"1270",1,45,464,44709,21,6,18,19
"1271",1,34,458,45879,107,5,18,19
"1272",1,49,466,48608,70,6,18,19
"1273",1,45,437,44627,85,5,17,19
"1274",1,38,444,41346,78,5,17,19
"1275",1,30,458,48752,78,5,18,20
"1276",0,31,448,38541,144,5,16,18
"1277",1,35,441,45490,38,6,17,18
"1278",1,62,417,44186,136,5,17,18
"1279",1,32,484,46550,72,6,18,20
"1280",1,48,460,44325,28,6,17,18
"1281",1,41,436,46446,64,6,17,20
"1282",1,44,453,46761,53,5,18,19
"1283",0,30,451,36069,157,5,16,18
"1284",1,34,461,43918,145,6,17,18
"1285",1,22,434,42950,28,6,17,19
"1286",1,47,457,47981,82,6,18,21
"1287",1,34,438,44463,100,5,17,19
"1288",0,35,400,36989,59,5,16,19
"1289",0,38,432,39022,93,5,16,17
"1290",1,30,462,46766,1,6,17,19
"1291",0,37,403,41166,168,5,16,18
"1292",1,28,454,46478,51,5,18,20
"1293",1,23,451,46496,69,6,18,19
"1294",1,31,438,43588,74,6,18,19
"1295",0,35,445,42910,158,6,17,18
"1296",1,41,438,46487,2,5,18,20
"1297",1,35,439,48120,111,6,17,20
"1298",1,37,443,41998,53,6,17,19
"1299",1,34,479,48159,10,5,18,19
"1300",1,47,427,49361,136,6,17,18
"1301",1,35,415,41673,84,5,18,20
"1302",1,33,427,43473,49,5,17,19
"1303",1,43,446,42320,98,5,17,19
"1304",0,41,445,43639,98,5,17,18
"1305",1,36,431,42550,49,5,17,19
"1306",0,38,445,41678,14,5,17,18
"1307",1,37,450,46980,119,6,18,19
"1308",1,44,431,43247,114,5,18,18
"1309",1,32,433,43548,129,5,17,19
"1310",0,38,446,39288,106,5,17,19
"1311",1,48,437,45997,81,5,17,19
"1312",0,28,448,42824,119,5,17,18
"1313",1,42,457,45932,134,6,17,19
"1314",1,35,436,42543,64,6,17,19
"1315",1,52,429,41932,105,5,16,20
"1316",1,39,449,44977,72,6,17,20
"1317",1,37,453,43767,102,6,17,19
"1318",0,20,452,40106,155,5,17,18
"1319",0,32,418,39378,74,5,16,18
"1320",0,47,439,41762,115,5,17,19
"1321",1,33,419,44989,68,5,16,19
"1322",1,37,434,44962,91,6,17,19
"1323",0,26,435,41840,106,5,17,19
"1324",1,46,452,39616,137,6,17,19
"1325",1,20,457,43527,13,5,18,20
"1326",0,29,442,43359,103,5,16,18
"1327",0,33,454,40172,113,5,17,18
"1328",1,42,448,45667,64,6,18,20
"1329",1,45,449,44795,152,6,17,20
"1330",0,44,405,37891,8,5,16,18
"1331",1,38,438,42669,103,5,17,18
"1332",1,35,461,46994,118,5,17,19
"1333",1,22,459,47552,29,6,18,20
"1334",1,31,447,46920,25,5,17,19
"1335",0,38,432,41144,37,5,16,18
"1336",1,32,450,46669,49,5,18,19
"1337",1,29,448,46133,13,5,17,20
"1338",1,30,460,48881,53,6,17,19
"1339",1,35,455,44000,154,5,18,19
"1340",1,31,418,42016,68,5,17,20
"1341",0,40,416,41784,188,5,17,19
"1342",0,37,445,43883,119,5,17,18
"1343",0,33,437,43683,31,6,17,18
"1344",0,44,456,43161,107,6,17,19
"1345",1,55,462,46751,29,6,18,20
"1346",1,37,442,45941,75,6,18,19
"1347",1,30,420,44649,146,5,17,19
"1348",0,37,432,40658,78,5,16,19
"1349",0,36,449,42210,123,6,17,19
"1350",0,33,433,43149,92,5,17,19
"1351",1,39,434,44631,171,5,17,18
"1352",0,31,440,43566,105,6,17,19
"1353",1,43,437,40884,80,6,17,18
"1354",1,31,413,44028,95,5,16,19
"1355",1,40,471,45460,73,6,17,19
"1356",0,42,462,42895,97,5,17,19
"1357",1,31,428,42946,64,5,17,19
"1358",1,34,469,43682,43,5,17,19
"1359",1,45,466,49023,82,5,18,20
"1360",0,44,420,39936,110,5,16,19
"1361",1,29,441,46564,128,6,17,19
"1362",1,37,435,47915,116,6,18,19
"1363",0,30,404,39306,130,5,16,18
"1364",1,36,449,42481,51,6,17,19
"1365",1,23,426,40816,61,5,17,19
"1366",1,34,444,43617,133,5,17,19
"1367",0,37,430,41058,126,5,16,18
"1368",0,35,430,41388,3,5,17,19
"1369",0,32,434,43880,111,5,17,17
"1370",1,38,445,45550,93,6,18,20
"1371",0,32,422,42416,54,5,17,19
